Year,Player,Pos,Age,Tm,all_star,championship,PER,FG,3P,2P,FT,AST,STL,BLK,TOV,PTS
2014,Quincy Acy,SF,23,TOT,0,0,10.1,66,4,62,35,28,23,26,30,171
2014,Quincy Acy,SF,23,TOR,0,0,17.2,6,2,4,5,4,4,3,2,19
2014,Quincy Acy,SF,23,SAC,0,0,9.6,60,2,58,30,24,19,23,28,152
2014,Steven Adams,C,20,OKC,0,0,11.2,93,0,93,79,43,40,57,71,265
2014,Jeff Adrien,PF,27,TOT,0,0,17.4,143,0,143,76,38,24,36,39,362
2014,Jeff Adrien,PF,27,CHA,0,0,14.9,22,0,22,13,7,7,15,8,57
2014,Jeff Adrien,PF,27,MIL,0,0,18.4,121,0,121,63,31,17,21,31,305
2014,Arron Afflalo,SG,28,ORL,0,0,16,464,128,336,274,248,35,3,146,1330
2014,Alexis Ajinca,C,25,NOP,0,0,14.6,136,0,136,56,40,23,46,63,328
2014,Cole Aldrich,C,25,NYK,0,0,19.1,33,0,33,26,14,8,30,18,92
2014,LaMarcus Aldridge,PF,28,POR,1,0,21.8,652,3,649,296,178,63,68,123,1603
2014,Lavoy Allen,PF,24,TOT,0,0,12.5,134,2,132,33,71,24,33,44,303
2014,Lavoy Allen,PF,24,PHI,0,0,11.9,117,2,115,27,65,22,27,40,263
2014,Lavoy Allen,PF,24,IND,0,0,17.5,17,0,17,6,6,2,6,4,40
2014,Ray Allen,SG,38,MIA,0,0,12.8,240,116,124,105,143,54,8,84,701
2014,Tony Allen,SG,32,MEM,0,0,15.6,204,11,193,76,94,90,19,90,495
2014,Al-Farouq Aminu,SF,23,NOP,0,0,13.2,234,13,221,91,114,82,38,88,572
2014,Lou Amundson,PF,31,TOT,0,0,9.1,16,0,16,6,6,9,11,14,38
2014,Lou Amundson,PF,31,NOP,0,0,9.2,16,0,16,6,6,9,11,14,38
2014,Lou Amundson,PF,31,CHI,0,0,0,0,0,0,0,0,0,0,0,0
2014,Chris Andersen,C,35,MIA,0,0,18.5,177,3,174,120,19,32,97,53,477
2014,Alan Anderson,SF,31,BRK,0,0,9.5,194,84,110,92,81,48,11,62,564
2014,James Anderson,SG,24,PHI,0,0,10.9,309,115,194,77,149,74,28,106,810
2014,Ryan Anderson,PF,25,NOP,0,0,18.8,155,67,88,59,17,10,7,20,436
2014,Giannis Antetokounmpo,SF,19,MIL,0,0,10.8,173,41,132,138,150,60,61,122,525
2014,Carmelo Anthony,PF,29,NYK,1,0,24.4,743,167,576,459,242,95,51,198,2112
2014,Joel Anthony,C,31,TOT,0,0,8.1,12,0,12,4,2,3,12,3,28
2014,Joel Anthony,C,31,MIA,0,0,8,2,0,2,2,0,0,4,1,6
2014,Joel Anthony,C,31,BOS,0,0,8.1,10,0,10,2,2,3,8,2,22
2014,Pero Antic,C,31,ATL,0,0,11.7,123,56,67,50,58,19,12,55,352
2014,Trevor Ariza,SF,28,WAS,0,0,15.8,389,180,209,149,191,126,20,132,1107
2014,Hilton Armstrong,C,29,GSW,0,0,17,9,0,9,7,5,4,4,6,25
2014,Darrell Arthur,SF,25,DEN,0,0,9.4,162,24,138,53,61,39,47,58,401
2014,Omer Asik,C,27,HOU,0,0,14,101,0,101,78,25,14,37,59,280
2014,D.J. Augustin,PG,26,TOT,0,0,16.2,298,133,165,201,313,53,3,125,930
2014,D.J. Augustin,PG,26,TOR,0,0,1.2,7,1,6,6,10,1,0,9,21
2014,D.J. Augustin,PG,26,CHI,0,0,16.8,291,132,159,195,303,52,3,116,909
